Dimension 1,Dimension 2,prediction
152.07213,-15.312712,248
-60.937595,-121.94129,403
23.605452,-104.020424,414
27.242039,3.4632566,-1
94.99701,3.234365,419
-89.78312,-111.122116,409
-47.75625,-144.16812,76
44.181328,-15.5746355,-1
-72.37832,85.81077,78
-8.645756,22.88538,444
33.202293,-32.299873,468
157.13971,-24.61771,248
103.60155,22.644081,-1
134.14777,-38.9943,378
48.904373,-30.651163,279
60.20692,-58.928474,292
82.29712,22.51593,-1
92.30964,1.3136848,419
-134.09705,-85.80985,6
16.192955,51.291718,345
-8.443225,108.89686,-1
1.7546886,-117.88593,-1
11.274074,-52.75993,391
-79.65505,-22.220854,214
15.060432,3.1097026,440
21.280233,52.362297,-1
-20.76648,61.520008,-1
-51.436985,-108.25521,-1
0.1412986,-151.68796,-1
132.14235,-73.27035,241
177.85458,21.613806,43
-118.289375,-41.63247,92
39.062695,-111.33234,-1
87.761246,140.5965,208
-52.07383,117.45507,-1
23.70177,-16.769457,-1
23.659853,-16.689419,-1
-60.070038,-160.10481,-1
109.696075,3.4341123,-1
-58.281555,129.35054,103
-44.805225,63.547375,193
56.27872,27.909472,458
-17.645992,46.41487,266
-36.333244,-110.255844,313
167.29094,47.014214,32
-0.13888022,-87.36377,-1
-27.403748,63.684605,282
5.4692073,-43.275696,388
68.3723,119.0836,-1
114.71341,-29.96066,-1
-23.959612,171.87651,14
-103.88318,34.89335,-1
-183.13533,-25.482882,25
170.93526,-39.5088,248
132.10338,14.2494545,394
21.768908,81.40026,330
-101.655464,4.528343,128
2.2968583,97.57745,331
119.96525,40.442577,395
42.84167,36.234592,-1
-111.47946,-78.63628,199
158.20967,91.39817,-1
-32.032608,116.321365,75
32.282875,87.07299,311
21.169989,-50.463387,391
-115.9945,21.991884,-1
-77.33752,-32.438377,-1
34.258934,-63.139446,377
-3.5217497,-126.2759,343
0.8543508,118.6767,234
72.43997,-117.20479,-1
-162.18326,-42.98194,49
103.02078,24.46789,-1
99.79191,-63.689518,299
-67.41792,-129.3551,403
106.54031,-70.05568,288
107.213066,-69.3701,288
94.1913,11.4893055,419
21.42349,-48.79946,391
-113.28685,52.30565,131
-31.654554,-10.175279,356
-1.5925074,-71.56345,-1
-38.306892,-104.35232,-1
-110.56663,-115.92422,13
-21.059143,-62.56869,285
-110.56667,-115.924225,13
-184.82532,48.536423,62
-1.3603245,64.05972,324
-1.4396448,64.15074,324
71.12699,89.69046,360
43.557213,68.40569,308
-52.44147,-62.35977,460
7.412513,46.40657,-1
63.37889,87.208466,-1
-80.98258,-54.957264,448
87.79295,-57.26007,-1
-61.863564,-38.757713,-1
150.30054,-51.54189,112
-171.11766,25.703526,-1
-103.59913,-1.8789481,128
-86.22584,5.5620756,137
-9.596314,-93.34992,355
57.896706,-144.03221,190
119.96661,-55.492275,295
130.85175,45.52895,50
-82.2235,131.91078,113
-105.54903,19.362741,133
-5.4651823,-86.527756,355
-13.470456,-88.12903,-1
29.002834,-24.143536,468
175.67729,10.983263,42
42.15488,-21.365948,-1
-116.88622,38.965897,-1
-79.885735,-42.401386,448
45.98218,-38.811634,461
75.94842,-75.67366,300
13.511245,-4.9572144,-1
-59.40677,61.128628,253
167.60423,-23.092026,248
50.649864,-160.5272,155
-22.914896,9.707558,270
-167.17776,30.229374,-1
135.42213,-75.16436,241
45.90234,-113.309235,361
-158.71756,48.23396,165
32.962383,54.96445,347
144.30916,8.43319,141
-150.30574,57.131046,-1
-20.419514,-134.34189,-1
-67.124344,-77.27727,463
26.26408,-32.579235,468
26.066458,-32.464596,468
31.152956,-132.48546,189
12.631345,-93.29499,340
119.05043,124.28184,-1
73.62802,-68.83663,300
85.36005,92.42733,101
179.28673,9.835964,42
-29.971928,78.49725,243
-91.848785,-86.15832,-1
43.895607,5.0714655,470
88.41547,-20.732126,296
141.22731,-11.733729,250
84.27152,119.519196,-1
-72.219,-70.216934,463
-25.625774,14.794803,270
83.49347,-106.09799,142
47.92919,-94.081696,415
94.48766,110.934135,230
-14.305229,-156.66266,135
-28.828722,-69.345184,-1
163.66982,30.133419,46
56.300262,28.03539,458
131.47351,-35.31857,378
-1.2669103,126.97143,-1
-109.84074,-16.569084,98
-86.12748,-37.91191,310
18.59773,178.21544,1
70.82223,113.69117,194
-73.50346,-63.620155,-1
-84.030495,62.45864,240
-57.18441,-100.09256,421
-68.580574,54.817204,236
76.08079,-2.9802847,396
127.606636,84.12871,-1
-29.549076,-118.20545,-1
-131.16443,77.81019,167
-7.056842,-27.479,-1
30.23167,146.63953,316
-28.515356,-157.41765,-1
-32.418194,-63.999485,450
-28.617964,72.22144,-1
-89.67142,-99.328735,409
-156.07307,-59.694576,10
36.421757,-26.971632,468
38.71528,-30.204037,468
-4.6848025,-47.59647,363
8.532322,83.57614,332
75.084366,-125.34525,154
4.4926124,-22.87517,426
34.70642,143.68953,-1
78.24362,47.534874,375
78.385216,47.571934,375
78.08649,47.38501,375
58.65877,9.85224,465
-43.922646,-21.05355,-1
16.68168,180.19814,1
-103.47908,-66.83803,-1
31.90463,17.998743,-1
-25.236732,-4.0044284,356
