Dimension 1,Dimension 2,prediction
164.81177,3.824023,248
61.591694,-52.902153,162
172.37654,-9.238904,440
176.42744,8.021672,-1
38.42891,-0.9568036,441
85.14897,-117.61829,442
-116.64822,51.750572,443
-138.07289,30.365257,3278
-138.83072,30.709019,444
71.634254,18.726145,-1
55.629265,60.339306,-1
71.145935,-82.460815,3781
-8.7043085,188.44225,445
-8.578152,187.0116,-1
-6.5123367,187.93065,445
-64.01742,-19.50983,-1
77.51061,125.44851,446
-31.137974,-137.61597,447
-8.218389,186.28525,-1
-23.681118,63.386204,448
-38.03691,-94.14723,1917
151.19186,-53.0087,449
46.80098,38.89448,450
46.629288,38.891914,450
-84.84612,158.66273,451
135.40707,-80.91623,452
136.06422,-80.43007,452
-140.07356,51.499657,2460
100.51876,29.96141,453
-170.26305,42.477604,454
14.089273,40.01478,-1
134.92809,-34.50607,-1
46.231644,19.115192,455
34.744453,-24.27522,-1
-78.500404,48.94165,456
-40.085068,7.6913595,457
69.81258,46.865032,-1
-140.48683,-36.342785,-1
-105.083626,-78.40781,-1
130.4413,21.244383,458
-75.79235,33.74409,459
-127.20976,27.290802,-1
-127.525696,26.6731,460
-127.84314,26.40654,460
11.140204,-91.06608,-1
-77.984314,-105.506935,461
69.53525,61.90889,462
69.594986,61.79075,462
-59.59271,-72.45225,-1
94.29077,9.412991,3493
-17.9368,-61.219017,463
92.94894,-108.90741,464
-70.47399,-50.166874,465
-70.46161,-50.35321,465
102.96944,2.0613441,466
65.66208,-51.941788,467
91.8052,-74.75336,-1
94.41437,-35.689453,468
60.982185,133.1325,469
87.52201,14.453441,2210
83.515274,17.939926,-1
-46.098484,62.934605,470
95.27246,116.894875,471
-89.68782,-109.454285,-1
-81.219025,-113.95158,-1
-159.46016,66.60206,-1
-113.085785,46.78679,472
59.34474,76.48569,-1
-119.02694,-63.193638,-1
88.98842,-17.828512,-1
-81.55314,22.098228,473
41.53929,-146.9062,-1
79.74128,61.015453,474
-77.584145,15.228277,-1
-64.529205,-123.79431,-1
103.75089,66.28565,-1
-38.76911,41.998768,475
19.832357,86.40611,-1
84.93449,70.80797,476
84.62146,70.46892,476
84.579414,70.34051,476
111.44041,-11.269241,-1
97.646866,17.839981,-1
-64.62607,-51.524025,-1
38.030746,-51.98366,477
107.2487,114.04023,-1
-90.561386,-102.23428,478
53.168327,-148.1612,-1
-75.82989,-46.12642,479
110.55361,83.57604,480
-98.92604,-65.364525,-1
-29.361425,-107.259315,-1
-118.32208,-98.85662,481
141.38582,-8.921049,-1
-25.392967,105.18772,482
-25.376759,105.18221,482
35.388367,-125.97899,483
160.9092,-13.017627,-1
-111.461365,-116.04373,484
103.84691,-128.38081,485
103.91301,-129.71097,485
-17.931458,-57.431984,-1
-65.42291,-77.61499,3367
-156.64513,69.120094,-1
8.094223,-48.659367,-1
94.22395,-67.15937,486
105.37437,49.47431,487
105.345276,49.52425,487
-22.17068,105.84503,488
19.849722,46.93778,489
108.99883,65.22958,-1
